linear,poly3,poly4,randomforest,decisiontree,lasso,supportvector
0.0,0.0,0.0,0.0,0.0,0.0,0.0
88825.42028791987,909772.8333864668,2988284.122850275,148171.21012100394,169301.9837603741,284613.83473876445,303249.35245194886
213760.5637515783,1103392.1352468836,4438275.658223515,301096.55828714895,343671.20121600555,545819.5492761133,493941.1215304558
381965.8706153954,1872933.4985663793,45026712.54469249,468907.0287004997,526181.5328536545,817094.1217475118,714006.2174638077
